ID,hero_or_villain,hero_or_villain_combined,alignment_all,alignment_all_combined,alignment_all_combined_good,alignment_all_combined_evil,alignment_all_combined_neutral,alignment_all_combined_other,family_affil,family_affil_batfam,family_affil_wonderfam,family_affil_arrowfam,family_affil_flashfam,family_affil_superfam,family_affil_martianfam,family_affil_lanternfam,family_affil_nah,team_affil,team_affil_titans,team_affil_jlu,team_affil_outlaw,team_affil_league_los,team_affil_birds,team_affil_yj,team_affil_jld,team_affil_jsa,team_affil_lantern_corp,team_affil_rogues,team_affil_teen_justice,team_affil_nah,sidekick_status,sidekick_status_combined,base,fight_why,fight_why_justice,fight_why_revenge,fight_why_responsibility,fight_why_redemption,fight_why_protection,fight_why_honor,fight_why_nan,fight_why_nah,year_start,main_weapon,main_weapon_combined,meta_powers,meta_powers_nah,meta_powers_tech,meta_powers_super,meta_powers_flight,meta_powers_race,meta_powers_speed,meta_powers_artifact,meta_powers_magic,main_rival,main_rival_yn_split,lethal_thoughts,lethal_thoughts_combined,lethal_thoughts_combined_never,lethal_thoughts_combined_only_last,lethal_thoughts_combined_only_danger,lethal_thoughts_combined_always,lethal_thoughts_combined_except,lethal_thoughts_combined_other,age,race,race_combined,race_combined_human,race_combined_martian,race_combined_kryptonian,race_combined_alien_other,race_combined_magic,race_combined_other,gender,gender_combined,orphan_status,trinity_1,trinity_2,trinity_3,Batman_score,Wonder Woman_score,Superman_score
11,Hero,Hero,good,I'm good,1,0,0,0,Flash,0,0,0,1,0,0,0,0,Teen Titans,1,0,0,0,0,0,0,0,0,0,0,0,No,No,Keystone (City),I fight for responsibility,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1959,run into those guys real fast,Speedforce,Speedforce,0,0,0,0,0,1,0,0,"No, I don't",No,only_last,Only as last resort,0,1,0,0,0,0,29.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,M,M,No,,Batman,,2.0,,
12,Hero,Hero,good,I'm good,1,0,0,0,Flash,0,0,0,1,0,0,0,0,"Teen Titans, Young Justice",1,0,0,0,0,1,0,0,0,0,0,0,Yes,Yes,Manchester,"I fight for responsibility, I fight for redemption",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1994,just me :D,Hand to hand,Speedforce,0,0,0,0,0,1,0,0,"Yes, very annoying",Yes,never,Never,1,0,0,0,0,0,18.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,,,Yes,,,,,,
13,Hero,Hero,I try my best,Other,0,0,0,1,Super,0,0,0,0,1,0,0,0,"Teen Titans, Young Justice",1,0,0,0,0,1,0,0,0,0,0,0,No,No,Other,"I fight for honor, I fight for responsibility",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1993,I punch,Hand to hand,"Superkit, Flight",0,0,1,1,0,0,0,0,"Yes, very dangerous",Yes,only_last,Only as last resort,0,1,0,0,0,0,4.0,"human, Half-alien","Human, Other alien",1.0,0.0,0.0,1.0,0.0,0.0,M,M,No,,,Superman,,,1.0
14,Hero,Hero,good,I'm good,1,0,0,0,Wonder,0,1,0,0,0,0,0,0,"Teen Titans, Young Justice",1,0,0,0,0,1,0,0,0,0,0,0,Yes,Yes,San Francisco,"I fight for justice, I fight for responsibility",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1996,Hands go pow punch,Hand to hand,"Superkit, Racial Abilities, Flight",0,0,1,1,1,0,0,0,"No, I don't",No,never,Never,1,0,0,0,0,0,20.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,F,F,No,Wonder Woman,Superman,Batman,1.0,3.0,2.0
15,Hero,Hero,good,I'm good,1,0,0,0,Martian,0,0,0,0,0,1,0,0,"Young Justice, Justice League",0,1,0,0,0,1,0,0,0,0,0,0,Yes,Yes,San Francisco,"I fight for justice, I fight for revenge, I fight for responsibility, I fight for redemption",1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2004,"Don't need them, Superpowers",Meta superpowers,"Racial Abilities, Flight",0,0,0,1,1,0,0,0,"No, I don't",No,"always, never",Always,0,0,0,1,0,0,24.0,martian (white),"Other alien,Martian",0.0,1.0,0.0,1.0,0.0,0.0,F,F,No,Batman,Wonder Woman,Superman,3.0,2.0,1.0
16,Hero,Hero,good,I'm good,1,0,0,0,Martian,0,0,0,0,0,1,0,0,Justice League,0,1,0,0,0,0,0,0,0,0,0,0,No,No,Other,"I fight for responsibility, I fight for redemption",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1955,I use my powers,Meta superpowers,"Racial Abilities, Flight",0,0,0,1,1,0,0,0,"No, I don't",No,only_last,Only as last resort,0,1,0,0,0,0,45.0,martian,Martian,0.0,1.0,0.0,0.0,0.0,0.0,?,,No,Superman,,,,,3.0
17,Hero,Hero,good,I'm good,1,0,0,0,Other,0,0,0,0,0,0,0,0,Young Justice,0,0,0,0,0,1,0,0,0,0,0,0,Yes,Yes,Other,I fight for responsibility,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2006,Tech,Tech,Artifact,0,0,0,0,0,0,1,0,"No, I don't",No,never,Never,1,0,0,0,0,0,16.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,M,M,No,Superman,Wonder Woman,Batman,1.0,2.0,3.0
18,Hero,Hero,"good, Chaotic","I'm good, Other",1,0,0,1,Nope,0,0,0,0,0,0,0,1,"Justice League, Justice League Dark, Justice Society",0,1,0,0,0,0,1,1,0,0,0,0,No,No,Other,"I fight for honor, I fight for revenge",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1964,Magic :sparkle:,Magic,Magic,0,0,0,0,0,0,0,1,"Yes, very dangerous",Yes,"only_last, doesn't even work half the time!",Only as last resort,0,1,0,0,0,0,34.0,"human, Magician","Human, Magic species",1.0,0.0,0.0,0.0,1.0,0.0,F,F,Yes,Batman,Wonder Woman,,3.0,2.0,
19,Hero,Hero,good,I'm good,1,0,0,0,Arrow,0,0,1,0,0,0,0,0,Justice League,0,1,0,0,0,0,0,0,0,0,0,0,No,No,Star (City),I fight for justice,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1947,Meta powers,Meta superpowers,Meta,0,0,0,0,0,0,0,0,"No, I don't",No,"only_last, only_danger","Only as last resort, Only if dangerous",0,1,1,0,0,0,43.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,F,F,No,,,Batman,1.0,,
20,Villain,Villain,"neutral, evil","Neutral, I'm evil",0,1,1,0,Arrow,0,0,1,0,0,0,0,0,League of Shadows,0,0,0,1,0,0,0,0,0,0,0,0,No,No,,I fight for protection,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1977,Knife,Knife,No powers,1,0,0,0,0,0,0,0,"No, I don't",No,always,Always,0,0,0,1,0,0,33.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,F,F,No,,,,,,
21,Hero,Hero,good,I'm good,1,0,0,0,Arrow,0,0,1,0,0,0,0,0,Justice League,0,1,0,0,0,0,0,0,0,0,0,0,No,No,Star (City),I fight for justice,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1941,Arrows,Arrows,No powers,1,0,0,0,0,0,0,0,"No, I don't",No,only_danger,Only if dangerous,0,0,1,0,0,0,48.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,M,M,No,,,Batman,1.0,,
22,Hero,Hero,good,I'm good,1,0,0,0,Lantern,0,0,0,0,0,0,1,0,"Green Lanterns, Justice League",0,1,0,0,0,0,0,0,1,0,0,0,No,No,Other,"I fight for justice, I fight for responsibility, I fight for redemption",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1959,Tech,Tech,"Tech, Flight",0,1,0,1,0,0,0,0,"Yes, very dangerous",Yes,"always, only_danger",Always,0,0,0,1,0,0,42.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,M,M,No,Superman,,Wonder Woman,,1.0,3.0
23,Hero,Hero,good,I'm good,1,0,0,0,Lantern,0,0,0,0,0,0,1,0,"Green Lanterns, Justice League",0,1,0,0,0,0,0,0,1,0,0,0,No,No,Other,I fight for honor,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1968,Tech,Tech,"Tech, Flight",0,1,0,1,0,0,0,0,"No, I don't",No,"only_last, only_danger","Only as last resort, Only if dangerous",0,1,1,0,0,0,39.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,M,M,No,Wonder Woman,,,,3.0,
24,Hero,Hero,good,I'm good,1,0,0,0,Flash,0,0,0,1,0,0,0,0,Teen Justice,0,0,0,0,0,0,0,0,0,0,1,0,"kind of, Yes, No",,Keystone (City),"I fight for responsibility, I fight for protection",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2014,speedforce in general?,Speedforce,Speedforce,0,0,0,0,0,1,0,0,"No, I don't",No,never,Never,1,0,0,0,0,0,16.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,NB,NB,No,Superman,,,,,3.0
25,Hero,Hero,good,I'm good,1,0,0,0,Super,0,0,0,0,1,0,0,0,Nope,0,0,0,0,0,0,0,0,0,0,0,1,No,No,Metropolis,"I fight for justice, I fight for honor, I fight for responsibility",1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2016,My base powers,Meta superpowers,"Superkit, Racial Abilities, Flight",0,0,1,1,1,0,0,0,"No, I don't",No,never,Never,1,0,0,0,0,0,15.0,"human, kryptonian","Human, Kryptonian",1.0,0.0,1.0,0.0,0.0,0.0,M,M,No,Superman,Wonder Woman,Batman,1.0,2.0,3.0
26,Hero,Hero,good,I'm good,1,0,0,0,Super,0,0,0,0,1,0,0,0,Nope,0,0,0,0,0,0,0,0,0,0,0,1,No,No,Other,"I fight for justice, I fight for honor",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1959,powers,Meta superpowers,"Superkit, Racial Abilities, Flight",0,0,1,1,1,0,0,0,"No, I don't",No,only_last,Only as last resort,0,1,0,0,0,0,24.0,kryptonian,Kryptonian,0.0,0.0,1.0,0.0,0.0,0.0,F,F,Yes,Superman,,,,,3.0
27,Hero,Hero,good,I'm good,1,0,0,0,Super,0,0,0,0,1,0,0,0,Justice Society,0,0,0,0,0,0,0,1,0,0,0,0,No,No,Other,I fight for justice,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1942,violence,Hand to hand,"Superkit, Racial Abilities, Flight",0,0,1,1,1,0,0,0,"No, I don't",No,"always, only_last",Always,0,0,0,1,0,0,26.0,kryptonian,Kryptonian,0.0,0.0,1.0,0.0,0.0,0.0,F,F,Yes,Batman,Superman,,3.0,,2.0
28,Civilian,Civilian,good,I'm good,1,0,0,0,Bat,1,0,0,0,0,0,0,0,Nope,0,0,0,0,0,0,0,0,0,0,0,1,No,No,Gotham,I fight for justice,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1943,Gun,Gun,No powers,1,0,0,0,0,0,0,0,"Yes, very dangerous",Yes,"always, only_danger, only_last",Always,0,0,0,1,0,0,99.0,,,,,,,,,M,M,No,Superman,Batman,,2.0,,3.0
29,Hero,Hero,good,I'm good,1,0,0,0,Arrow,0,0,1,0,0,0,0,0,Young Justice,0,0,0,0,0,1,0,0,0,0,0,0,No,No,Gotham,"I fight for justice, I fight for responsibility",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1997,Arrows,Arrows,No powers,1,0,0,0,0,0,0,0,"Yes, very annoying",Yes,"only_last, only_danger, bc arkham is a revolving door","Only as last resort, Only if dangerous",0,1,1,0,0,0,26.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,F,F,No,Batman,,,3.0,,
30,Hero,Hero,good,I'm good,1,0,0,0,Other,0,0,0,0,0,0,0,0,Justice League,0,1,0,0,0,0,0,0,0,0,0,0,No,No,Other,I fight for responsibility,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1940,powerset,Meta superpowers,"Artifact, Magic",0,0,0,0,0,0,1,1,"Yes, very annoying",Yes,never,Never,1,0,0,0,0,0,11.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,M,M,No,Batman,Superman,,3.0,,2.0
31,Hero,Hero,good,I'm good,1,0,0,0,Flash,0,0,0,1,0,0,0,0,Justice Society,0,0,0,0,0,0,0,1,0,0,0,0,No,No,Keystone (City),,,,,,,,,,1940,speed,Speedforce,Speedforce,0,0,0,0,0,1,0,0,"No, I don't",No,only_last,Only as last resort,0,1,0,0,0,0,74.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,M,M,No,,,,,,
32,Hero,Hero,good,I'm good,1,0,0,0,Flash,0,0,0,1,0,0,0,0,Justice League,0,1,0,0,0,0,0,0,0,0,0,0,No,No,Keystone (City),I fight for justice,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1956,fast,Speedforce,Speedforce,0,0,0,0,0,1,0,0,"Yes, very dangerous",Yes,never,Never,1,0,0,0,0,0,51.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,M,M,No,Superman,Wonder Woman,Batman,1.0,2.0,3.0
33,Hero,Hero,good,I'm good,1,0,0,0,Nope,0,0,0,0,0,0,0,1,Teen Titans,1,0,0,0,0,0,0,0,0,0,0,0,No,No,New York,"I fight for revenge, I fight for justice",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1980,lasers (mine),Meta superpowers,"Superkit, Racial Abilities, Flight",0,0,1,1,1,0,0,0,"Yes, very dangerous",Yes,only_danger,Only if dangerous,0,0,1,0,0,0,30.0,Alien princess,Other alien,0.0,0.0,0.0,1.0,0.0,0.0,F,F,Yes,Wonder Woman,Superman,,,3.0,2.0
34,Hero,Hero,good,I'm good,1,0,0,0,Nope,0,0,0,0,0,0,0,1,Teen Titans,1,0,0,0,0,0,0,0,0,0,0,0,No,No,New York,"I fight for responsibility, I fight for protection",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1980,Magic,Magic,"Racial Abilities, Flight, Magic",0,0,0,1,1,0,0,1,"Yes, very dangerous",Yes,"only_last, only_danger","Only as last resort, Only if dangerous",0,1,1,0,0,0,26.0,"Azarathian, human on good days","Magic species,Human",1.0,0.0,0.0,0.0,1.0,0.0,F,F,No,Batman,,,3.0,,
35,Hero,Hero,good,I'm good,1,0,0,0,Nope,0,0,0,0,0,0,0,1,Teen Titans,1,0,0,0,0,0,0,0,0,0,0,0,No,No,New York,"I fight for justice, I fight for honor",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1965,me as an animal,Meta superpowers,Racial Abilities,0,0,0,0,1,0,0,0,"No, I don't",No,never,Never,1,0,0,0,0,0,24.0,"human, martian","Human, Martian",1.0,1.0,0.0,0.0,0.0,0.0,M,M,Yes,,,,,,
36,Hero,Hero,good,I'm good,1,0,0,0,Nope,0,0,0,0,0,0,0,1,Justice Society,0,0,0,0,0,0,0,1,0,0,0,0,No,No,Other,I fight for honor,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1999,Staff,Other,Flight,0,0,0,1,0,0,0,0,"No, I don't",No,never,Never,1,0,0,0,0,0,23.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,F,F,No,,,,,,
37,Hero,Hero,good,I'm good,1,0,0,0,Lantern,0,0,0,0,0,0,1,0,"Green Lanterns, Justice League",0,1,0,0,0,0,0,0,1,0,0,0,No,No,Other,"I fight for protection, I fight for honor",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2014,Ring,Tech,"Tech, Flight",0,1,0,1,0,0,0,0,"No, I don't",No,"never, only_last",Only as last resort,0,1,0,0,0,0,28.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,F,F,No,Wonder Woman,,,,3.0,
38,Hero,Hero,good,I'm good,1,0,0,0,Lantern,0,0,0,0,0,0,1,0,"Green Lanterns, Justice Society",0,0,0,0,0,0,0,1,1,0,0,0,No,No,Other,"Not applicable, I no longer/do not fight",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1940,Oa's ring,Tech,"Tech, Flight",0,1,0,1,0,0,0,0,"No, I don't",No,only_danger,Only if dangerous,0,0,1,0,0,0,70.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,M,M,No,Superman,,,,,3.0
39,Hero,Hero,good,I'm good,1,0,0,0,Arrow,0,0,1,0,0,0,0,0,Nope,0,0,0,0,0,0,0,0,0,0,0,1,No,No,Metropolis,I fight for justice,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1993,Arrows,Arrows,No powers,1,0,0,0,0,0,0,0,"No, I don't",No,never,Never,1,0,0,0,0,0,20.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,M,M,No,Superman,,,,,3.0
40,Hero,Hero,good,I'm good,1,0,0,0,Flash,0,0,0,1,0,0,0,0,Nope,0,0,0,0,0,0,0,0,0,0,0,1,No,No,Manchester,I fight for justice,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1940,Speedforce,Speedforce,Speedforce,0,0,0,0,0,1,0,0,"No, I don't",No,"never, maybe maybe one-offs",Some exceptions,0,0,0,0,1,0,60.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,M,M,No,,,,,,
41,vigilante,Other,"neutral, good","Neutral, I'm good",1,0,1,0,Bat,1,0,0,0,0,0,0,0,Rogue Gallery,0,0,0,0,0,0,0,0,0,1,0,0,No,No,Gotham,I fight for fun :3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1940,Claws,Other,No powers,1,0,0,0,0,0,0,0,"No, I don't",No,"only_last, don’t tell him",Only as last resort,0,1,0,0,0,0,44.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,F,F,No,Batman,,Wonder Woman,3.0,1.0,
42,Villain,Villain,evil,I'm evil,0,1,0,0,Nope,0,0,0,0,0,0,0,1,Rogue Gallery,0,0,0,0,0,0,0,0,0,1,0,0,No,No,Gotham,"I fight for revenge, I fight for justice",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1959,Tech,Tech,No powers,1,0,0,0,0,0,0,0,"No, I don't",No,"always, only_last",Always,0,0,0,1,0,0,40.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,M,M,No,,,Batman,1.0,,
43,Villain,Villain,evil,I'm evil,0,1,0,0,Nope,0,0,0,0,0,0,0,1,Rogue Gallery,0,0,0,0,0,0,0,0,0,1,0,0,No,No,Keystone (City),"I fight for fun :3, I fight for protection",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1957,Tech,Tech,No powers,1,0,0,0,0,0,0,0,"Yes, very annoying",Yes,"never, only_danger",Only if dangerous,0,0,1,0,0,0,45.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,M,M,No,Superman,,,,,3.0
44,dating one?,Civilian,neutral,Neutral,0,0,1,0,Nope,0,0,0,0,0,0,0,1,Nope,0,0,0,0,0,0,0,0,0,0,0,1,well I'm Not a hero,,Gotham,"Not applicable, I no longer/do not fight",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2022,"Not applicable, I no longer/do not fight","Not applicable, I no longer/do not fight",No powers,1,0,0,0,0,0,0,0,"No, I don't",No,only_last,Only as last resort,0,1,0,0,0,0,20.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,M,M,No,Batman,,,3.0,,
45,retired now!,Other,"good, neutral","I'm good, Neutral",1,0,1,0,Nope,0,0,0,0,0,0,0,1,Young Justice,0,0,0,0,0,1,0,0,0,0,0,0,No,No,Other,"Not applicable, I no longer/do not fight",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2006,"Not applicable, I no longer/do not fight","Not applicable, I no longer/do not fight",Racial Abilities,0,0,0,0,1,0,0,0,"Yes, very dangerous",Yes,only_danger,Only if dangerous,0,0,1,0,0,0,16.0,"human, Ghost before","Human, Other",1.0,0.0,0.0,0.0,0.0,1.0,F,F,Yes,Batman,Superman,,3.0,,2.0
46,Hero,Hero,good,I'm good,1,0,0,0,Arrow,0,0,1,0,0,0,0,0,"Teen Titans, Young Justice",1,0,0,0,0,1,0,0,0,0,0,0,For a while there,Yes,Star (City),"Not applicable, I no longer/do not fight",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2004,Arrows,Arrows,No powers,1,0,0,0,0,0,0,0,"No, I don't",No,only_danger,Only if dangerous,0,0,1,0,0,0,22.0,human,Human,1.0,0.0,0.0,0.0,0.0,0.0,F,F,No,Wonder Woman,,,,3.0,
